# Generated 20260524-114134 — 350 distinct sponsors, cascade-aware buckets for AMB-700829 wave
# bucket|slug|EP|ETSize|DTL|DTR|DirectSponsored|MemberId|currentRank=0(Lifestyle)
D_TitaniumCand|lt-c727361f-l20-1-52747e|216|35|6.0000|390.0000|25|AMB-052156|Lifestyle
D_TitaniumCand|lt-c727361f-l50-46-2a4cfd|276|45|198.0000|174.0000|23|AMB-575701|Lifestyle
D_TitaniumCand|lt-c727361f-l20-15-e73f6c|354|58|6.0000|330.0000|38|AMB-376439|Lifestyle
D_TitaniumCand|p-33f6d261-up1|240|39|222.0000|90.0000|14|AMB-932756|Lifestyle
D_TitaniumCand|lt-c727361f-l20-12-fd791d|300|49|6.0000|282.0000|28|AMB-924337|Lifestyle
D_TitaniumCand|p-33f6d261-up3|462|76|174.0000|42.0000|22|AMB-102786|Lifestyle
D_TitaniumCand|lt-c727361f-l50-21-d99e45|180|29|6.0000|198.0000|24|AMB-599626|Lifestyle
C_PlatinumCand|lt-a222f227-w3-i6-abd4a8|180|29|42.0000|30.0000|11|AMB-944930|Lifestyle
C_PlatinumCand|lt-c727361f-l50-44-9c6509|270|44|6.0000|30.0000|25|AMB-103421|Lifestyle
B_GoldCand|g-7717c939-up2|162|26|642.0000|5436.0000|21|AMB-375401|Lifestyle
B_GoldCand|p-33f6d261-up8|126|20|252.0000|2418.0000|10|AMB-110891|Lifestyle
B_GoldCand|lt-c727361f-l1-0-71b77a|150|24|66.0000|1038.0000|10|AMB-164273|Lifestyle
B_GoldCand|lt-c727361f-l5-3-a8e07f|90|14|18.0000|870.0000|9|AMB-388596|Lifestyle
B_GoldCand|lt-c727361f-l50-6-d78cb7|126|20|354.0000|444.0000|20|AMB-349471|Lifestyle
B_GoldCand|lt-c727361f-l50-2-c2edb5|72|11|402.0000|366.0000|11|AMB-325585|Lifestyle
B_GoldCand|lt-c727361f-l50-43-cd6878|72|11|390.0000|378.0000|11|AMB-889519|Lifestyle
B_GoldCand|lt-c727361f-l10-6-a9b292|126|20|18.0000|702.0000|11|AMB-778503|Lifestyle
B_GoldCand|lt-c727361f-l10-9-f05372|90|14|18.0000|678.0000|9|AMB-162476|Lifestyle
B_GoldCand|lt-c727361f-l20-8-ba356d|90|14|18.0000|558.0000|10|AMB-099711|Lifestyle
B_GoldCand|lt-c727361f-l50-32-9fea75|72|11|210.0000|210.0000|11|AMB-232054|Lifestyle
B_GoldCand|lt-c727361f-l20-13-5764a0|72|11|6.0000|378.0000|6|AMB-526298|Lifestyle
B_GoldCand|lt-c727361f-l50-33-81ba86|72|11|186.0000|174.0000|11|AMB-035954|Lifestyle
B_GoldCand|lt-c727361f-l20-6-75e807|120|19|6.0000|342.0000|9|AMB-128599|Lifestyle
B_GoldCand|lt-c727361f-l50-13-d847ec|96|15|138.0000|174.0000|15|AMB-857647|Lifestyle
B_GoldCand|lt-c727361f-l20-9-5eef70|72|11|6.0000|294.0000|6|AMB-052527|Lifestyle
B_GoldCand|lt-c727361f-l20-18-3d09b3|72|11|6.0000|270.0000|11|AMB-635068|Lifestyle
B_GoldCand|lt-c727361f-l50-47-558676|156|25|6.0000|210.0000|20|AMB-941361|Lifestyle
B_GoldCand|lt-a222f227-w2-i6-300cf9|120|19|90.0000|114.0000|9|AMB-027275|Lifestyle
B_GoldCand|p-33f6d261-up15|162|26|114.0000|0.0000|12|AMB-041797|Lifestyle
B_GoldCand|p-33f6d261-up17|78|12|108.0000|0.0000|7|AMB-657049|Lifestyle
B_GoldCand|lt-ecd8fb8e-w1-i82-c54fd5|90|14|90.0000|12.0000|9|AMB-960705|Lifestyle
B_GoldCand|lt-c727361f-l50-39-2a9bb9|72|11|6.0000|90.0000|11|AMB-766765|Lifestyle
B_GoldCand|lt-a222f227-w3-i31-fb747b|90|14|42.0000|42.0000|4|AMB-454309|Lifestyle
B_GoldCand|lt-c727361f-l50-37-c9e060|96|15|6.0000|66.0000|10|AMB-100286|Lifestyle
B_GoldCand|lt-ecd8fb8e-w1-i82-c54fd5|90|14|36.0000|0.0000|9|AMB-960705|Lifestyle
B_GoldCand|lt-a222f227-w4-i116-72670b|72|11|18.0000|18.0000|11|AMB-975856|Lifestyle
B_GoldCand|lt-a222f227-w2-i9-7cada7|72|11|30.0000|0.0000|11|AMB-674818|Lifestyle
B_GoldCand|lt-a222f227-w2-i3-4bf447|72|11|18.0000|0.0000|11|AMB-412941|Lifestyle
B_GoldCand|lt-a222f227-w5-i131-a723a0|102|16|6.0000|6.0000|6|AMB-855173|Lifestyle
B_GoldCand|lt-a222f227-w5-i87-443918|96|15|6.0000|6.0000|11|AMB-745095|Lifestyle
B_GoldCand|lt-a222f227-w5-i68-ecf49e|90|14|6.0000|6.0000|9|AMB-418748|Lifestyle
B_GoldCand|lt-ecd8fb8e-w1-i248-5a87d6|90|14|6.0000|6.0000|4|AMB-754455|Lifestyle
B_GoldCand|lt-ecd8fb8e-w1-i120-604587|90|14|6.0000|6.0000|9|AMB-851934|Lifestyle
B_GoldCand|lt-c4b8202b-w1-i168-b1194c|90|14|6.0000|6.0000|14|AMB-632691|Lifestyle
B_GoldCand|lt-a222f227-w5-i69-672215|90|14|6.0000|6.0000|9|AMB-120036|Lifestyle
B_GoldCand|lt-a222f227-w5-i31-c089ed|72|11|6.0000|6.0000|6|AMB-517978|Lifestyle
B_GoldCand|lt-a222f227-w5-i106-f650b1|72|11|6.0000|6.0000|11|AMB-688116|Lifestyle
B_GoldCand|lt-a222f227-w5-i51-1d8ddc|72|11|6.0000|6.0000|6|AMB-196845|Lifestyle
B_GoldCand|lt-c4b8202b-w1-i142-d52199|126|20|0.0000|0.0000|6|AMB-052766|Lifestyle
B_GoldCand|lt-ecd8fb8e-w1-i159-07a59c|120|19|0.0000|0.0000|9|AMB-261186|Lifestyle
B_GoldCand|lt-c4b8202b-w1-i45-e1b982|96|15|0.0000|0.0000|11|AMB-450721|Lifestyle
B_GoldCand|lt-c727361f-l50-27-232d28|90|14|0.0000|0.0000|9|AMB-651107|Lifestyle
B_GoldCand|lt-ecd8fb8e-w1-i120-604587|90|14|0.0000|0.0000|9|AMB-851934|Lifestyle
B_GoldCand|lt-ecd8fb8e-w1-i248-5a87d6|90|14|0.0000|0.0000|4|AMB-754455|Lifestyle
B_GoldCand|lt-c4b8202b-w1-i9-9c2581|72|11|0.0000|0.0000|11|AMB-919479|Lifestyle
A_SilverCand|lt-c727361f-l50-22-e9681d|30|4|1620.0000|1530.0000|4|AMB-116728|Lifestyle
A_SilverCand|lt-c727361f-l5-1-ba895a|66|10|6.0000|918.0000|5|AMB-710021|Lifestyle
A_SilverCand|lt-c727361f-l5-2-2bca54|36|5|6.0000|894.0000|5|AMB-343051|Lifestyle
A_SilverCand|lt-c727361f-l10-3-c7a3ee|36|5|18.0000|798.0000|5|AMB-170421|Lifestyle
A_SilverCand|lt-c727361f-l50-19-c987e8|36|5|414.0000|366.0000|5|AMB-080633|Lifestyle
A_SilverCand|lt-c727361f-l10-1-9e8a75|42|6|18.0000|750.0000|6|AMB-459765|Lifestyle
A_SilverCand|lt-c727361f-l50-18-299542|36|5|366.0000|378.0000|5|AMB-949251|Lifestyle
A_SilverCand|lt-c727361f-l10-8-8784b7|36|5|18.0000|630.0000|5|AMB-658024|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i92-d03fab|36|5|570.0000|66.0000|5|AMB-610895|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i130-0ccfa9|36|5|522.0000|42.0000|5|AMB-565676|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i271-38dcba|36|5|522.0000|24.0000|5|AMB-946306|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i58-1afdc7|66|10|510.0000|24.0000|5|AMB-147382|Lifestyle
A_SilverCand|lt-c727361f-l20-10-e46543|42|6|18.0000|510.0000|6|AMB-142210|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i91-1e3fd3|36|5|474.0000|42.0000|5|AMB-001860|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i103-803546|36|5|474.0000|42.0000|5|AMB-698083|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i93-233800|66|10|414.0000|42.0000|5|AMB-812474|Lifestyle
A_SilverCand|lt-c727361f-l20-17-c080ec|36|5|18.0000|438.0000|5|AMB-293056|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i178-aa6795|36|5|378.0000|42.0000|5|AMB-121432|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i106-023871|36|5|366.0000|42.0000|5|AMB-466786|Lifestyle
A_SilverCand|lt-c727361f-l50-40-d7b009|36|5|186.0000|222.0000|5|AMB-744767|Lifestyle
A_SilverCand|lt-c727361f-l50-30-61af1c|36|5|186.0000|210.0000|5|AMB-565130|Lifestyle
A_SilverCand|lt-c727361f-l50-5-7139b5|36|5|198.0000|198.0000|5|AMB-861774|Lifestyle
A_SilverCand|lt-c727361f-l50-8-480021|36|5|186.0000|210.0000|5|AMB-025292|Lifestyle
A_SilverCand|lt-c727361f-l20-11-667c42|36|5|18.0000|354.0000|5|AMB-292220|Lifestyle
A_SilverCand|lt-c727361f-l50-7-fbdc88|30|4|186.0000|174.0000|4|AMB-622519|Lifestyle
A_SilverCand|lt-c727361f-l50-17-bbd622|36|5|186.0000|162.0000|5|AMB-941106|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i92-326278|36|5|270.0000|42.0000|5|AMB-772645|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i54-69f969|36|5|270.0000|42.0000|5|AMB-389916|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i55-2e97cb|36|5|270.0000|42.0000|5|AMB-851773|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i81-58abbd|36|5|270.0000|42.0000|5|AMB-263704|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i118-13dea0|36|5|246.0000|24.0000|5|AMB-878442|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i59-e299bb|36|5|246.0000|18.0000|5|AMB-372820|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i138-1c1883|36|5|246.0000|18.0000|5|AMB-610638|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i27-916a71|36|5|234.0000|12.0000|5|AMB-398472|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i117-ca66dd|66|10|210.0000|18.0000|5|AMB-576707|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i114-837d67|36|5|198.0000|18.0000|5|AMB-839966|Lifestyle
A_SilverCand|lt-a222f227-w2-i23-d45bd6|36|5|114.0000|90.0000|5|AMB-379840|Lifestyle
A_SilverCand|lt-a222f227-w2-i15-168d86|30|4|114.0000|90.0000|4|AMB-626511|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i99-6c05a3|36|5|174.0000|18.0000|5|AMB-810134|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i65-51eee5|36|5|162.0000|18.0000|5|AMB-371541|Lifestyle
A_SilverCand|lt-c727361f-l50-29-0f88cb|36|5|6.0000|162.0000|5|AMB-992580|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i48-84adef|36|5|126.0000|18.0000|5|AMB-981476|Lifestyle
A_SilverCand|lt-c727361f-l50-48-9c6acd|42|6|6.0000|114.0000|6|AMB-153272|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i92-d03fab|36|5|114.0000|0.0000|5|AMB-610895|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i58-1afdc7|66|10|108.0000|0.0000|5|AMB-147382|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i271-38dcba|36|5|108.0000|0.0000|5|AMB-946306|Lifestyle
A_SilverCand|lt-a222f227-w3-i35-7ab391|36|5|66.0000|42.0000|5|AMB-454097|Lifestyle
A_SilverCand|lt-a222f227-w1-i5-dc0016|36|5|96.0000|0.0000|5|AMB-482157|Lifestyle
A_SilverCand|lt-a222f227-w3-i11-a82ac9|36|5|66.0000|30.0000|5|AMB-178995|Lifestyle
A_SilverCand|lt-a222f227-w1-i7-215819|36|5|90.0000|0.0000|5|AMB-165091|Lifestyle
A_SilverCand|lt-a222f227-w3-i20-2fa3e3|42|6|42.0000|42.0000|6|AMB-406929|Lifestyle
A_SilverCand|lt-a222f227-w3-i25-e8b6df|36|5|42.0000|42.0000|5|AMB-173497|Lifestyle
A_SilverCand|lt-c727361f-l50-12-a89b77|36|5|6.0000|78.0000|5|AMB-707855|Lifestyle
A_SilverCand|lt-a222f227-w1-i6-d3a000|30|4|84.0000|0.0000|4|AMB-101684|Lifestyle
A_SilverCand|lt-a222f227-w3-i56-978dae|30|4|42.0000|42.0000|4|AMB-201280|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i45-76f72b|30|4|66.0000|12.0000|4|AMB-386732|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i65-b01181|66|10|54.0000|18.0000|5|AMB-618055|Lifestyle
A_SilverCand|lt-a222f227-w1-i1-6902da|36|5|72.0000|0.0000|5|AMB-914287|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i118-13dea0|36|5|72.0000|0.0000|5|AMB-878442|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i140-604bda|36|5|54.0000|18.0000|5|AMB-519091|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i27-916a71|36|5|66.0000|0.0000|5|AMB-398472|Lifestyle
A_SilverCand|lt-a222f227-w1-i8-ec044e|36|5|66.0000|0.0000|5|AMB-312154|Lifestyle
A_SilverCand|lt-a222f227-w4-i96-4d5739|60|9|42.0000|18.0000|4|AMB-900478|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i155-3aeb8d|36|5|42.0000|18.0000|5|AMB-899107|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i44-020097|36|5|42.0000|18.0000|5|AMB-608942|Lifestyle
A_SilverCand|lt-a222f227-w1-i4-309a2c|42|6|54.0000|0.0000|6|AMB-230696|Lifestyle
A_SilverCand|lt-a222f227-w4-i31-e3a0e9|42|6|30.0000|18.0000|6|AMB-453727|Lifestyle
A_SilverCand|lt-a222f227-w1-i3-4f5a37|36|5|48.0000|0.0000|5|AMB-159670|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i65-51eee5|36|5|48.0000|0.0000|5|AMB-371541|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i166-dc0285|36|5|42.0000|6.0000|5|AMB-737549|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i168-8024a2|36|5|42.0000|6.0000|5|AMB-166318|Lifestyle
A_SilverCand|lt-c727361f-l50-26-67b60f|30|4|6.0000|42.0000|4|AMB-418929|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i198-546112|36|5|30.0000|6.0000|5|AMB-282646|Lifestyle
A_SilverCand|lt-a222f227-w4-i82-2a6572|36|5|18.0000|18.0000|5|AMB-652024|Lifestyle
A_SilverCand|lt-a222f227-w5-i61-12e6a8|36|5|30.0000|6.0000|5|AMB-911154|Lifestyle
A_SilverCand|lt-a222f227-w4-i85-c68d50|36|5|18.0000|18.0000|5|AMB-270756|Lifestyle
A_SilverCand|lt-a222f227-w4-i34-c7175c|36|5|18.0000|18.0000|5|AMB-148679|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i23-12d535|36|5|30.0000|6.0000|5|AMB-411980|Lifestyle
A_SilverCand|lt-a222f227-w4-i6-e0f5f7|36|5|18.0000|18.0000|5|AMB-025286|Lifestyle
A_SilverCand|lt-a222f227-w4-i119-b6e922|36|5|18.0000|18.0000|5|AMB-460921|Lifestyle
A_SilverCand|lt-9d788e06-w1-i130-770de2|36|5|18.0000|18.0000|5|AMB-449467|Lifestyle
A_SilverCand|lt-a222f227-w4-i15-2e9f3e|36|5|18.0000|18.0000|5|AMB-114227|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i151-1ce670|36|5|30.0000|6.0000|5|AMB-655215|Lifestyle
A_SilverCand|lt-a222f227-w4-i33-520b82|36|5|18.0000|18.0000|5|AMB-687533|Lifestyle
A_SilverCand|lt-a222f227-w5-i19-1932e1|30|4|18.0000|18.0000|4|AMB-568848|Lifestyle
A_SilverCand|lt-a222f227-w2-i7-1dea45|36|5|24.0000|0.0000|5|AMB-346510|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i180-88c193|36|5|18.0000|6.0000|5|AMB-945318|Lifestyle
A_SilverCand|lt-a222f227-w4-i74-9d259b|36|5|18.0000|6.0000|5|AMB-384192|Lifestyle
A_SilverCand|lt-a222f227-w5-i5-9b57b7|36|5|18.0000|6.0000|5|AMB-183146|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i34-3d1df0|36|5|18.0000|6.0000|5|AMB-408190|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i45-76f72b|30|4|24.0000|0.0000|4|AMB-386732|Lifestyle
A_SilverCand|lt-c727361f-l50-34-f41287|18|2|6.0000|18.0000|2|AMB-938926|Lifestyle
A_SilverCand|lt-9d788e06-w1-i41-4c1d46|36|5|6.0000|12.0000|5|AMB-465451|Lifestyle
A_SilverCand|lt-c4b8202b-w1-i15-a81b03|66|10|6.0000|6.0000|5|AMB-052176|Lifestyle
A_SilverCand|lt-a222f227-w5-i90-d73cbe|60|9|6.0000|6.0000|4|AMB-727617|Lifestyle
A_SilverCand|lt-9d788e06-w1-i124-da4cd9|36|5|6.0000|6.0000|5|AMB-335884|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i70-7f2549|36|5|6.0000|6.0000|5|AMB-138649|Lifestyle
A_SilverCand|lt-a222f227-w5-i92-50e012|36|5|6.0000|6.0000|5|AMB-155646|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i17-a7d365|36|5|6.0000|6.0000|5|AMB-462068|Lifestyle
A_SilverCand|lt-a222f227-w5-i144-6cac72|36|5|6.0000|6.0000|5|AMB-849133|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i18-e8eebe|36|5|6.0000|6.0000|5|AMB-183044|Lifestyle
A_SilverCand|lt-c4b8202b-w1-i50-1596af|36|5|6.0000|6.0000|5|AMB-287059|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i125-7ec324|36|5|6.0000|6.0000|5|AMB-409312|Lifestyle
A_SilverCand|lt-9d788e06-w1-i117-41a2a8|36|5|6.0000|6.0000|5|AMB-127953|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i28-f54f9e|36|5|6.0000|6.0000|5|AMB-783772|Lifestyle
A_SilverCand|lt-a222f227-w5-i176-0fe85d|36|5|6.0000|6.0000|5|AMB-516762|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i8-eee5db|30|4|6.0000|6.0000|4|AMB-848012|Lifestyle
A_SilverCand|lt-a222f227-w5-i55-d3501d|30|4|6.0000|6.0000|4|AMB-719546|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i94-623275|30|4|6.0000|6.0000|4|AMB-138593|Lifestyle
A_SilverCand|lt-a222f227-w5-i146-634fe6|30|4|6.0000|6.0000|4|AMB-436284|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i19-3392ea|30|4|6.0000|6.0000|4|AMB-078618|Lifestyle
A_SilverCand|lt-a222f227-w2-i0-9f4fb5|30|4|6.0000|0.0000|4|AMB-371091|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i296-164dd7|66|10|0.0000|0.0000|5|AMB-531709|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i251-724426|60|9|0.0000|0.0000|4|AMB-723254|Lifestyle
A_SilverCand|lt-c4b8202b-w1-i274-c6a9f5|42|6|0.0000|0.0000|6|AMB-063656|Lifestyle
A_SilverCand|lt-c4b8202b-w1-i213-2dbd72|42|6|0.0000|0.0000|6|AMB-234325|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i218-f1a993|36|5|0.0000|0.0000|5|AMB-173563|Lifestyle
A_SilverCand|lt-9d788e06-w1-i26-feef8d|36|5|0.0000|0.0000|5|AMB-318396|Lifestyle
A_SilverCand|lt-9d788e06-w1-i297-7ec5fe|36|5|0.0000|0.0000|5|AMB-691253|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i28-f54f9e|36|5|0.0000|0.0000|5|AMB-783772|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i70-7f2549|36|5|0.0000|0.0000|5|AMB-138649|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i85-5bcd28|36|5|0.0000|0.0000|5|AMB-277628|Lifestyle
A_SilverCand|lt-a222f227-w5-i26-e073bb|36|5|0.0000|0.0000|5|AMB-965929|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i195-4f4f1a|36|5|0.0000|0.0000|5|AMB-992262|Lifestyle
A_SilverCand|lt-c4b8202b-w1-i146-5a2c07|36|5|0.0000|0.0000|5|AMB-195322|Lifestyle
A_SilverCand|lt-9d788e06-w1-i296-a750d1|36|5|0.0000|0.0000|5|AMB-513899|Lifestyle
A_SilverCand|lt-c4b8202b-w1-i121-416f77|36|5|0.0000|0.0000|5|AMB-115382|Lifestyle
A_SilverCand|lt-9d788e06-w1-i100-4565b3|36|5|0.0000|0.0000|5|AMB-060991|Lifestyle
A_SilverCand|lt-c4b8202b-w1-i297-ef4c85|36|5|0.0000|0.0000|5|AMB-737791|Lifestyle
A_SilverCand|lt-9d788e06-w1-i211-580c56|36|5|0.0000|0.0000|5|AMB-636998|Lifestyle
A_SilverCand|lt-a222f227-w5-i60-396aea|36|5|0.0000|0.0000|5|AMB-995540|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i81-c530eb|36|5|0.0000|0.0000|5|AMB-574630|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i178-f1c87a|36|5|0.0000|0.0000|5|AMB-168977|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i29-80bba9|36|5|0.0000|0.0000|5|AMB-360803|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i17-a7d365|36|5|0.0000|0.0000|5|AMB-462068|Lifestyle
A_SilverCand|lt-c4b8202b-w1-i171-fea184|36|5|0.0000|0.0000|5|AMB-028734|Lifestyle
A_SilverCand|lt-c4b8202b-w1-i225-8c3113|36|5|0.0000|0.0000|5|AMB-978445|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i94-623275|30|4|0.0000|0.0000|4|AMB-138593|Lifestyle
A_SilverCand|lt-c4b8202b-w1-i210-8325cf|30|4|0.0000|0.0000|4|AMB-357636|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i254-7ebb06|30|4|0.0000|0.0000|4|AMB-655831|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i19-3392ea|30|4|0.0000|0.0000|4|AMB-078618|Lifestyle
A_SilverCand|lt-a222f227-w5-i29-41c18f|30|4|0.0000|0.0000|4|AMB-978200|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i98-55fea1|30|4|0.0000|0.0000|4|AMB-269813|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i8-eee5db|30|4|0.0000|0.0000|4|AMB-848012|Lifestyle
A_SilverCand|lt-a222f227-w5-i175-ad8770|30|4|0.0000|0.0000|4|AMB-914099|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i203-d5af4d|30|4|0.0000|0.0000|4|AMB-035809|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i290-cb70c0|30|4|0.0000|0.0000|4|AMB-769822|Lifestyle
F_Filler|lt-a222f227-w5-i10-9d8cb8|6|0|18.0000|18.0000|0|AMB-506561|Lifestyle
F_Filler|lt-9d788e06-w1-i170-c9882c|6|0|6.0000|6.0000|0|AMB-789768|Lifestyle
F_Filler|lt-a222f227-w5-i154-bfb4e5|6|0|6.0000|6.0000|0|AMB-678630|Lifestyle
F_Filler|lt-b036a425-w1-i161-4e3fc7|6|0|0.0000|0.0000|0|AMB-792420|Lifestyle
F_Filler|lt-ecd8fb8e-w1-i196-1805e3|6|0|0.0000|0.0000|0|AMB-020355|Lifestyle
F_Filler|lt-b036a425-w1-i139-8076bd|6|0|0.0000|0.0000|0|AMB-376071|Lifestyle
F_Filler|lt-8ff5dfd4-w1-i111-759a01|6|0|222.0000|18.0000|0|AMB-055311|Lifestyle
F_Filler|lt-a222f227-w5-i32-b91dac|6|0|18.0000|6.0000|0|AMB-818351|Lifestyle
F_Filler|lt-c727361f-l50-25-3565d1|6|0|174.0000|186.0000|0|AMB-181501|Lifestyle
F_Filler|lt-9d788e06-w1-i353-5422dd|6|0|0.0000|0.0000|0|AMB-212757|Lifestyle
F_Filler|lt-8ff5dfd4-w1-i121-589f4a|6|0|222.0000|18.0000|0|AMB-594147|Lifestyle
F_Filler|lt-a222f227-w5-i199-b7ded6|6|0|6.0000|6.0000|0|AMB-214177|Lifestyle
F_Filler|lt-8ff5dfd4-w1-i161-3a674b|6|0|18.0000|6.0000|0|AMB-668683|Lifestyle
